Decision,Owner,Readers,Illegal Writers,Conflict,Migration Target
"Product Grounding","Product Brain + project constraints","Presentation PROJECT BRAIN / HARD CONSTRAINTS; TypedPack.ProductGrounding","Presentation inventing product facts; Repair inventing product_is / strengths; Industry default templates","none","TypedPack.ProductGrounding"
"Hook","Winner Candidate hookLine + enforceCandidateHook","Presentation prompt (Candidate block + OPENING HOOK bridge); Repair / fidelity (hook preserved); Narrative Beats (HOOK beat); Anti-repetition memory","Attention Delivery (must not invent a replacement hook); Opening Priority Resolver (must amplify, not replace); Repair appendices (must not soft-rewrite away from hookLine); Creative Directive HOOK ARCHETYPE when a winner exists","safe: HOOK ARCHETYPE remains as fallback when no Candidate; loses to hookLine when present. Legacy Hook V2 removed in Phase 1. | contenders: Creative Directive HOOK ARCHETYPE (fallback only)","TypedPack.Hook"
"Opening","Winner Candidate openingSituation (+ Creative DNA world)","Presentation VISUAL BEATS / Opening Priority Resolver (as reader); Concept fidelity / story integrity; Narrative Beats HOOK comprehension; Creative Identity (neutralize environment to DNA world)","Attention originality / Opening Contract (persisted, not prompt-authoritative); Creative Identity environment (must not relocate); Repair (must not replace openingSituation with safer montage); Visual Narrative (clarify meaning; do not swap event)","safe: Attention still computes originality/opening for persistence/TTS motion; Phase 1 removed those from Presentation prompt. Identity environment neutralized when DNA present. | contenders: Attention originality.selected_visual_concept (persisted only); Opening Priority Resolver (meta-order reader, not owner)","TypedPack.Opening"
"Story Structure","MODE BEATS (CreativeDirectives.mode.narrativeBeats)","Presentation prompt (ATTENTION FIRST, VISUAL BEATS); Storyboard role arc (buildStoryboard modeBeats); Video job creative_mode_beats; Narrative Beats (Candidate-derived labels mapped onto MODE BEATS); TypedPack.StoryStructure","Preferred Story Arc (must not become a second owner); Narrative Beats Required arc prose (must not become a second owner); Repair (must not invent a new beat grammar)","none","TypedPack.StoryStructure"
"Emotional Arc","Winner Candidate emotionalReaction (from concept emotional fields)","Candidate prompt block; Narrative Beats SETUP comprehension; Series fingerprints / anti-repetition (emotional_arc fingerprint)","Attention opening_emotional_effect (must not replace candidate emotion); Repair (must not flatten emotionalReaction)","shared: Fingerprint emotional_arc and Attention opening_emotional_effect are parallel channels; story emotion authority is Candidate emotionalReaction. | contenders: Attention opening_emotional_effect; Concept fingerprint emotional_arc","TypedPack.EmotionalArc"
"Voice Emotion","Attention delivery_arc","ATTENTION DELIVERY prompt block; TTS buildVideoTtsDeliveryHints / buildTtsInstructions; video-worker resolveTtsOptionsFromJobInput","Creative Directive Voice Persona (copy tone only — not delivery_arc); Repair (must not rewrite delivery_arc); Presentation LLM (may write VO wording; must not own TTS delivery phases)","shared: TTS merge also reads funnel/mode/visualProfile/narrativeRoles/project tone; delivery_arc fragment is preferred but not exclusive until Typed Packs. | contenders: Funnel / mode / visualProfile TTS hint layers; Project tone_of_voice","TypedPack.VoiceEmotion"
"Voice Persona","Creative Directive VoicePersona (copy wording/rhythm/energy)","Presentation CREATIVE DIRECTIVE block","Attention delivery_arc (owns spoken delivery phases, not persona catalog); TTS voice resolver (owns provider voice id — orthogonal decision)","shared: Voice Persona (copy) is orthogonal to TTS voice id (resolveVoiceSelection). Do not merge without an explicit Typed Pack. | contenders: resolveTtsOptions / resolveVoiceSelection (TTS voice id)","TypedPack.VoicePersona"
"Visual Identity","Creative DNA world + immutable rules (concept world); Creative Identity (treatment only)","CANONICAL CREATIVE DNA prompt; CREATIVE IDENTITY prompt; Story integrity / DNA package validation; video-worker creative_identity stamp","Creative Identity environment when DNA world exists (must neutralize); Visual Narrative (meaning carrier — must not relocate world); Repair (must not swap DNA world)","shared: Split ownership is intentional: DNA = WHAT/WHERE/WHO world; Identity = lighting/camera/color/composition treatment. C8 environment dual-signal mitigated by neutralize. | contenders: Creative Identity environment (neutralized when DNA present)","TypedPack.VisualIdentity"
"Character Consistency","Creative DNA mainCharacter (+ derivePrimaryActor / story integrity)","DNA prompt; PRIMARY_ACTOR IDENTITY CONTINUITY (Presentation); Product demonstration integrity; Story integrity validators / repair appendix","Creative Identity human_presence (treatment, not cast swap); Repair inventing a new face/profession without narrative reason; Attention (must not invent a different primary actor)","none","TypedPack.CharacterConsistency"
"Asset Policy","PACKAGE ASSET COVERAGE (resolvePackageAssetCoverage); Funnel Asset Policy fallback","Presentation prompt; Package guardrails / asset modification checks; Product Presentation Decision","Funnel Asset Policy when Coverage is present (Phase 1 echo ban); Repair inventing asset_usage ids; Presentation LLM inventing assets not in AVAILABLE ASSETS","safe: C3 optional-vs-required is expressed as a single Coverage stance when present. Funnel is fallback-only. | contenders: FUNNEL ASSET POLICY (fallback when no Coverage)","TypedPack.AssetPolicy"
"Camera Style","Creative Identity camera dimension","CREATIVE IDENTITY prompt / image suffix; video-worker identity","Creative DNA (owns world, not camera treatment); Concept viewpoint text (inspiration folded into visualPromise — not Identity camera); VISUAL STYLE guardrail module (not injected; not owner)","shared: Candidate visualPromise/viewpoint may describe framing in prose; Identity camera is the treatment owner. | contenders: Candidate visualPromise / concept viewpoint","TypedPack.CameraStyle"
"Scene Order","Package visual_scenes ordered list (LLM) guided by MODE BEATS","prepareVisualScenesForVideo; Storyboard / duration planners; Narrative Beats mapping; Video render","Repair inventing a reordered story that abandons winner progression; Typed scene frequency policies that silently reorder narrative meaning","shared: MODE BEATS + Narrative Beats guide; final ordered dramaturgy is visual_scenes. Downstream may drop typed scenes but must not invent a new story. | contenders: Narrative Beats spine; applyPresentationFrequencyToPackage / typed CTA series policy","TypedPack.SceneOrder"
"Scene Diversity","Deterministic progression validators (story/visual/information progression)","generateContentPackage post-LLM checks; Repair / telemetry diagnostics; VISUAL PROGRESSION prompt (reader guidance)","Creative Identity (must not force diversity via treatment changes); Scene Type Memory prose (removed from prompt; guardrail soft only)","shared: Prompt VISUAL PROGRESSION guides; validators own pass/fail. Diversity must stay inside DNA world. | contenders: VISUAL PROGRESSION prompt prose","TypedPack.SceneDiversity"
"CTA","Package cta.{type,text} constrained by CTA_TYPES_BY_GOAL + guardrails","Presentation prompt (allowed CTA types); Platform outputs CTAs; alignOnScreenCtaContract / typed CTA scenes; Anti-repetition CTAs","Opening meaning block (sales CTA forbidden in opening); Repair inventing disallowed cta.type; DNA endingIntent (narrative close — not cta.type enum)","shared: Narrative endingIntent / MODE BEATS terminal 'cta' / typed CTA scene / platform CTAs are related but distinct layers. Enum + guardrail own package cta.type. | contenders: Creative DNA endingIntent; Typed CTA scene composition; project.default_cta (hint only)","TypedPack.CTA"
"Safety","Deterministic guardrails + Product Brain constraints (forbidden_claims / product_is_not)","CREATIVE SAFETY prompt; HARD CONSTRAINTS / projectBrainBlock; runWithRepair; Image moderation fallback","Attention First (must stay bound by CREATIVE SAFETY); Repair that invents metrics or forbidden claims; Any prompt layer that overrides product_is_not","shared: C2: Attention First optimizes scroll-stop; Critic / CREATIVE SAFETY bound claims. Intentional tension — safety wins on facts. | contenders: ATTENTION FIRST priorities (intent, not fact authority)","TypedPack.Safety"
"Platform Adaptation","platform_outputs schema + PLATFORM_STYLE_SPECS + platform-native guardrails","Presentation PLATFORM STYLES block; checkContentPackageGuardrails platform-native checks; Persist / fan-out / localize","Shared voiceover pasted into captions; Repair that collapses all platforms to one caption","none","TypedPack.PlatformAdaptation"
"JSON Schema","buildContentPackageSchema / contentPackageSchema","generateValidatedJson / runWithRepair; Presentation JSON shape (documentary prompt); Workers (consume validated packages)","Prompt JSON example inventing new required fields; Repair inventing schema-incompatible keys; Ad-hoc workflow stamps that replace schema validation","safe: Prompt shape must document schema; schema is authoritative. Safe duplication of field names is expected. | contenders: Presentation prompt JSON shape (documentary)","TypedPack.JsonSchema"
