instruction_id,prompt_concern,code_component,file,overlap_type,recommendation
"pkg-attention-mechanism","Attention / opening / hook restatement","enforceCandidateHook + Attention First + Candidate","lib/creative-candidates/enforceCandidateHook.ts","full","thin_prompt"
"pkg-hook-v2","Hook = first spoken + archetype","enforceCandidateHook; fidelity hook checks","lib/creative-candidates/enforceCandidateHook.ts","full","move_to_code"
"pkg-funnel-asset-policy","Funnel asset density","assetCoveragePolicy","lib/assets/assetCoveragePolicy.ts","full","move_to_code"
"pkg-story-integrity-block","World continuity / metaphor escape","validateStoryIntegrity","lib/creative-candidates/storyIntegrity.ts","partial","thin_prompt"
"pkg-product-demo-block","No fake UI / actor continuity","validateProductDemonstrationIntegrity","lib/creative-candidates/productDemonstrationIntegrity.ts","partial","thin_prompt"
"pkg-visual-style","No dark cinematic default","vetoInventedConcepts / isDarkOfficeAtmosphere","lib/creative-engine-v3/vetoes.ts","full","move_to_code"
"pkg-scene-type-memory","Typed scene overuse","applySceneTypeHistoryGuardrail","lib/scene-types/presentation/sceneTypeHistoryGuardrail.ts","full","move_to_code"
"ideate-hard-requirements","Generic B2B / dark office / banks","vetoInventedConcepts","lib/creative-engine-v3/vetoes.ts","partial","thin_prompt"
"critic-system","Genericness / stop-scroll balance","vetoes + deterministicCriticFallback","lib/creative-engine-v3/vetoes.ts","partial","keep_both"
"pkg-content-quality","VO hard cap / corporate copy","VOICEOVER_HARD_CAP; CORPORATE_COPY_PHRASES","lib/ai/guardrails.ts","partial","thin_prompt"
"pkg-platform-native","YT/X caption limits; VO paste ban","checkPlatformNativeWriting","lib/ai/guardrails.ts","partial","thin_prompt"
"ctx-anti-repetition","Hook/topic/CTA reuse","veto fingerprint/hook collisions; memory loaders","lib/creative-engine-v3/vetoes.ts","partial","keep_prompt"
"repair-story-integrity","Story integrity hard codes","validateStoryIntegrity","lib/creative-candidates/storyIntegrity.ts","advisory_only","keep_both"
